card_id,name,owned_multiverseid,created,modified,color,cmc,mana_cost,types,reserved,multiverse_id,printings
431,Boros Garrison,397817,2017-09-04 18:42:39.347298,,"",0,,Land,f,83900,"[{""rarity"":""C"",""set"":""C13"",""multiverseid"":376271},{""rarity"":""C"",""set"":""C15"",""multiverseid"":405155},{""rarity"":""U"",""set"":""C16"",""multiverseid"":420900},{""rarity"":""C"",""set"":""C17"",""multiverseid"":433171},{""rarity"":""C"",""set"":""C19"",""multiverseid"":470779},{""rarity"":""C"",""set"":""CM2"",""multiverseid"":446975},{""rarity"":""C"",""set"":""CMA"",""multiverseid"":430463},{""rarity"":""C"",""set"":""CMD"",""multiverseid"":247371},{""rarity"":""C"",""set"":""GK1"",""multiverseid"":455775},{""rarity"":""C"",""set"":""HOP"",""multiverseid"":205356},{""rarity"":""U"",""set"":""IMA"",""multiverseid"":438799},{""rarity"":""U"",""set"":""MM2"",""multiverseid"":397817},{""rarity"":""C"",""set"":""RAV"",""multiverseid"":83900}]"
440,Godless Shrine,366302,2017-09-04 18:42:40.90865,,"",0,,Land,f,457392,"[{""rarity"":""M"",""set"":""EXP"",""multiverseid"":405099},{""rarity"":""R"",""set"":""GPT"",""multiverseid"":96935},{""rarity"":""R"",""set"":""GTC"",""multiverseid"":366302},{""rarity"":""R"",""set"":""RNA"",""multiverseid"":457392}]"
951,Arcane Artisan,,2019-01-19 16:30:40.920235,,U,3,{2}{U},Creature,f,446001,"[{""rarity"":""M"",""set"":""BBD"",""multiverseid"":446001}]"
909,Chart a Course,435200,2018-01-05 02:26:08.074209,,U,2,{1}{U},Sorcery,f,435200,"[{""rarity"":""U"",""set"":""XLN"",""multiverseid"":435200}]"
109,Living Death,210138,2017-09-04 18:36:29.753384,,B,5,{3}{B}{B},Sorcery,f,383001,"[{""rarity"":""R"",""set"":""A25"",""multiverseid"":""442085""},{""rarity"":""R"",""set"":""BRB"",""multiverseid"":""21155""},{""rarity"":""R"",""set"":""CM2"",""multiverseid"":""446804""},{""rarity"":""R"",""set"":""CMD"",""multiverseid"":""247416""},{""rarity"":""R"",""set"":""DDE"",""multiverseid"":""210138""},{""rarity"":""R"",""set"":""TMP"",""multiverseid"":""4671""},{""rarity"":""M"",""set"":""V14"",""multiverseid"":""386291""}]"
845,Raging Ravine,177583,2017-09-17 22:06:12.382163,,"",0,,Land,f,177583,"[{""rarity"":""M"",""set"":""PUMA"",""multiverseid"":457142},{""rarity"":""R"",""set"":""UMA"",""multiverseid"":456845},{""rarity"":""R"",""set"":""WWK"",""multiverseid"":177583}]"
907,Adanto Vanguard,435152,2018-01-05 02:26:07.725619,,W,2,{1}{W},Creature,f,435152,"[{""rarity"":""U"",""set"":""XLN"",""multiverseid"":435152}]"
928,Arguel's Blood Fast,,2018-07-01 01:53:12.761953,,B,2,{1}{B},Enchantment,f,435243,"[{""rarity"":""M"",""set"":""V17"",""multiverseid"":439316},{""rarity"":""R"",""set"":""XLN"",""multiverseid"":435243}]"
953,Assassin's Trophy,452902,2019-01-19 16:30:41.257148,,BG,2,{B}{G},Instant,f,,"[{""rarity"":""R"",""set"":""GRN"",""multiverseid"":452902}]"
929,Benalish Marshal,442894,2018-07-01 01:53:12.93844,,W,3,{W}{W}{W},Creature,f,,"[{""rarity"":""R"",""set"":""DOM"",""multiverseid"":442894},{""rarity"":""R"",""set"":""GNT"",""multiverseid"":456528}]"
462,Savannah,1379,2017-09-04 18:42:44.748633,,"",0,,Land,t,383079,"[{""rarity"":""R"",""set"":""2ED"",""multiverseid"":881},{""rarity"":""R"",""set"":""3ED"",""multiverseid"":1379},{""rarity"":""R"",""set"":""LEA"",""multiverseid"":282},{""rarity"":""R"",""set"":""LEB"",""multiverseid"":579}]"
958,Collective Defiance,,2019-01-19 16:30:42.064571,,R,3,{1}{R}{R},Sorcery,f,,"[{""rarity"":""R"",""set"":""EMN"",""multiverseid"":414420}]"
121,Phyrexian Obliterator,214386,2017-09-04 18:36:31.871103,,B,4,{B}{B}{B}{B},Creature,f,214386,"[{""rarity"":""M"",""set"":""A25"",""multiverseid"":""442090""},{""rarity"":""M"",""set"":""NPH"",""multiverseid"":""214386""}]"
1024,Brazen Borrower,,2020-01-13 03:03:16.017165,,U,3,{1}{U}{U},Creature,f,,"[{""rarity"":""M"",""set"":""ELD""},{""rarity"":""M"",""set"":""ELD"",""multiverseid"":473001},{""rarity"":""M"",""set"":""PELD""},{""rarity"":""M"",""set"":""PELD""}]"
238,Knight of Glory,265731,2017-09-04 18:38:21.87384,,W,2,{1}{W},Creature,f,265731,"[{""rarity"":""U"",""set"":""M13"",""multiverseid"":265731}]"
266,Stoneforge Mystic,198383,2017-09-04 18:38:26.765133,,W,2,{1}{W},Creature,f,198383,"[{""rarity"":""R"",""set"":""WWK"",""multiverseid"":198383}]"
362,Everflowing Chalice,397679,2017-09-04 18:40:53.529036,,"",0,{0},Artifact,f,198374,"[{""rarity"":""U"",""set"":""ARC"",""multiverseid"":220534},{""rarity"":""U"",""set"":""C14"",""multiverseid"":389506},{""rarity"":""U"",""set"":""C16"",""multiverseid"":420870},{""rarity"":""U"",""set"":""CM2"",""multiverseid"":446924},{""rarity"":""U"",""set"":""DDF"",""multiverseid"":222750},{""rarity"":""U"",""set"":""MM2"",""multiverseid"":397679},{""rarity"":""U"",""set"":""WWK"",""multiverseid"":198374}]"
538,Void,109677,2017-09-04 18:43:31.265017,,BR,5,{3}{B}{R},Sorcery,f,109677,"[{""rarity"":""R"",""set"":""EMA"",""multiverseid"":413753},{""rarity"":""R"",""set"":""INV"",""multiverseid"":23200},{""rarity"":""R"",""set"":""TSB"",""multiverseid"":109677}]"
